ticker,market_cap,price,volume,sector,industry
RA,733229824,13.27,200993,Financial Services,Asset Management
RACE,73382993920,413.26,620622,Consumer Cyclical,Auto Manufacturers
RAIL,162200448,8.48,161635,Industrials,Railroads
RAL,5262119936,46.65,1962235,Technology,Electronic Components
RAMP,1903100416,29.9,792803,Technology,Software - Infrastructure
RANI,247724272,2.02,6353044,Healthcare,Biotechnology
RAPP,1183267328,25.66,554310,Healthcare,Biotechnology
RAPT,722257536,28.86,300503,Healthcare,Biotechnology
RARE,2955107840,30.63,1331227,Healthcare,Biotechnology
RAY,124984344,2.625,145434,Consumer Defensive,Household & Personal Products
RBA,18648918016,100.4,1585925,Industrials,Specialty Business Services
RBBN,558054720,3.16,602731,Technology,Software - Application
RBC,13727268864,434.25,193118,Industrials,Tools & Accessories
RBLX,74993721344,106.84,8352305,Communication Services,Electronic Gaming & Multimedia
RBRK,14124219392,73.03,1987007,Technology,Software - Infrastructure
RC,493141408,2.94,5460592,Real Estate,REIT - Mortgage
RCAT,1095134976,9.28,19419815,Industrials,Aerospace & Defense
RCEL,101861384,3.77,254844,Healthcare,Medical Devices
RCI,20310196224,37.43,653705,Communication Services,Telecom Services
RCKT,346903296,3.17,2118351,Healthcare,Biotechnology
RCKY,222703264,29.74,140670,Consumer Cyclical,Footwear & Accessories
RCL,69817245696,256.01,1545463,Consumer Cyclical,Travel Services
RCUS,2389198080,19.31,1310940,Healthcare,Biotechnology
RDDT,34799001600,194.58,6358637,Communication Services,Internet Content & Information
RDN,4723942912,34.87,581863,Financial Services,Insurance - Specialty
RDNT,6084086784,78.31,992927,Healthcare,Diagnostics & Research
RDWR,989473920,23.18,158923,Technology,Software - Infrastructure
RDY,11328500736,13.46,846908,Healthcare,Drug Manufacturers - Specialty & Generic
RDZN,114792848,1.51,724316,Technology,Software - Application
REAL,1266457728,10.99,3720831,Consumer Cyclical,Luxury Goods
REAX,777306048,3.67,1114657,Real Estate,Real Estate Services
REG,13028791296,69.77,897117,Real Estate,REIT - Retail
REGN,69106057216,657.53,688470,Healthcare,Biotechnology
REKR,281724896,2.23,4472394,Technology,Software - Infrastructure
RELX,78862213120,42.27,2106496,Industrials,Specialty Business Services
RELY,2656973824,12.71,9983790,Technology,Software - Infrastructure
REPL,648644160,8.31,2241666,Healthcare,Biotechnology
REPX,549222656,25.0,108144,Energy,Oil & Gas E&P
RERE,877088832,3.95,782431,Consumer Cyclical,Internet Retail
RES,1210953856,5.49,978766,Energy,Oil & Gas Equipment & Services
REVG,2565739008,52.19,1315807,Industrials,Farm & Heavy Construction Machinery
REX,1059164672,32.04,108958,Basic Materials,Chemicals
REXR,9753402368,41.84,923257,Real Estate,REIT - Industrial
REYN,5233000448,24.88,790944,Consumer Cyclical,Packaging & Containers
REZI,4687575040,31.09,2494184,Industrials,Industrial Distribution
RF,21790380032,24.85,28076335,Financial Services,Banks - Regional
RGA,12514542592,190.44,373538,Financial Services,Insurance - Reinsurance
RGEN,8161033216,142.82,625046,Healthcare,Medical Instruments & Supplies
RGLD,14838867968,175.82,1209309,Basic Materials,Gold
RGNX,566264384,11.21,605457,Healthcare,Biotechnology
RGP,149255504,4.47,302784,Industrials,Consulting Services
RGR,541147904,33.94,346195,Industrials,Aerospace & Defense
RGTI,11138315264,33.77,57514248,Technology,Computer Hardware
RH,3040075264,162.18,910535,Consumer Cyclical,Specialty Retail
RHI,2668628992,26.38,2405466,Industrials,Staffing & Employment Services
RHP,5909151744,93.79,645885,Real Estate,REIT - Hotel & Motel
RIG,4383735808,3.98,38753033,Energy,Oil & Gas Drilling
RIGL,638745792,35.19,575972,Healthcare,Biotechnology
RILY,163694304,5.35,782248,Financial Services,Financial Conglomerates
RIO,111765962752,69.33,2221253,Basic Materials,Other Industrial Metals & Mining
RIOT,6324440576,17.01,22352538,Financial Services,Capital Markets
RITM,6112788992,11.03,7407872,Real Estate,REIT - Mortgage
RITR,105541776,1.69,135019,Industrials,Engineering & Construction
RIVN,18670655488,15.23,65585587,Consumer Cyclical,Auto Manufacturers
RJF,32312090624,163.11,710337,Financial Services,Asset Management
RKLB,24991729664,51.64,24827692,Industrials,Aerospace & Defense
RKT,45495939072,16.16,33776314,Financial Services,Mortgage Finance
RL,19688808448,324.68,664857,Consumer Cyclical,Apparel Manufacturing
RLAY,1043089024,6.05,4478224,Healthcare,Biotechnology
RLGT,288596000,6.11,272114,Industrials,Integrated Freight & Logistics
RLI,5704966144,62.12,408466,Financial Services,Insurance - Property & Casualty
RLJ,1100699136,7.25,1945203,Real Estate,REIT - Hotel & Motel
RLX,2814604544,2.32,1356878,Consumer Defensive,Tobacco
RMAX,397121952,7.53,186756,Real Estate,Real Estate Services
RMBS,11590689792,107.67,1642017,Technology,Semiconductors
RMD,36709060608,251.49,1323280,Healthcare,Medical Instruments & Supplies
RMNI,357832800,3.9,262078,Technology,Software - Application
RMR,266541088,15.85,128137,Real Estate,Real Estate Services
RNA,10260239360,69.84,4530021,Healthcare,Biotechnology
RNAC,204636064,7.87,100319,Healthcare,Biotechnology
RNG,2331187712,26.93,1957015,Technology,Software - Application
RNGR,301002912,13.75,131857,Energy,Oil & Gas Equipment & Services
RNP,1003103616,20.92,142926,Financial Services,Asset Management
RNR,12424210432,269.45,414611,Financial Services,Insurance - Reinsurance
RNST,3291523328,34.64,290090,Financial Services,Banks - Regional
ROAD,6325281792,111.37,359627,Industrials,Engineering & Construction
ROCK,1818055424,61.54,271198,Industrials,Building Products & Equipment
ROG,1515733632,84.28,182195,Technology,Electronic Components
ROIV,14081021952,20.62,8534509,Healthcare,Biotechnology
ROK,41993121792,373.49,1507106,Industrials,Specialty Industrial Machinery
ROL,28423479296,58.61,1505017,Consumer Cyclical,Personal Services
ROOT,1226448640,79.08,1452071,Financial Services,Insurance - Property & Casualty
ROP,48119312384,447.05,769738,Technology,Software - Application
ROST,52387446784,161.08,1817366,Consumer Cyclical,Apparel Retail
RPAY,354385248,3.8,1843090,Technology,Software - Infrastructure
RPD,929827008,14.2,1415884,Technology,Software - Infrastructure
RPID,137052016,3.1,127214,Healthcare,Medical Devices
RPM,13777100800,107.45,631143,Basic Materials,Specialty Chemicals
RPRX,22258300928,38.56,9328381,Healthcare,Biotechnology
RPT,110391160,2.43,167332,Real Estate,REIT - Mortgage
RQI,1611832960,11.99,268357,Financial Services,Asset Management
RR,741780736,3.74,22927602,Industrials,Specialty Industrial Machinery
RRC,8904047616,37.58,1770534,Energy,Oil & Gas E&P
RRR,5925063168,57.83,2310453,Consumer Cyclical,Resorts & Casinos
RRX,9026339840,135.96,830803,Industrials,Specialty Industrial Machinery
RS,14390418432,275.22,189672,Basic Materials,Steel
RSG,63643176960,205.59,996988,Industrials,Waste Management
RSI,3955076096,17.24,1231335,Consumer Cyclical,Gambling
RSKD,784185728,4.78,420595,Technology,Software - Application
RTAC,416081056,10.9,135610,Financial Services,Shell Companies
RTO,13857548288,27.09,800244,Industrials,Specialty Business Services
RTX,237276413952,176.97,2502779,Industrials,Aerospace & Defense
RUM,1995989632,5.89,2911817,Communication Services,Internet Content & Information
RUN,3952448768,17.13,24818656,Technology,Solar
RUSHA,3830095104,48.81,719319,Consumer Cyclical,Auto & Truck Dealerships
RVLV,1526552576,21.4,807269,Consumer Cyclical,Internet Retail
RVMD,11871768576,61.01,2722989,Healthcare,Biotechnology
RVT,1887727488,15.78,194001,Financial Services,Asset Management
RVTY,10292239360,90.78,984575,Healthcare,Diagnostics & Research
RWAY,357365632,9.89,337589,Financial Services,Asset Management
RXO,2048200448,12.49,2992859,Industrials,Trucking
RXRX,2408233728,4.62,52263031,Healthcare,Biotechnology
RXST,385262912,9.37,988623,Healthcare,Medical Devices
RXT,296807232,1.24,2193854,Technology,Software - Infrastructure
RY,205309902848,145.46,736266,Financial Services,Banks - Diversified
RYAAY,33656545280,63.81,628628,Industrials,Airlines
RYAM,408734112,6.1,585398,Basic Materials,Chemicals
RYAN,15319647232,58.06,1814289,Financial Services,Insurance - Specialty
RYI,659969856,20.49,321545,Industrials,Metal Fabrication
RYN,3584489984,23.03,1326257,Real Estate,REIT - Specialty
RYTM,6693626368,100.3,916051,Healthcare,Biotechnology
RZB,8771728384,24.9552,111256,,
RZLT,977309824,10.76,2019809,Healthcare,Biotechnology
RZLV,1245889152,3.83,9796502,Technology,Software - Infrastructure
S,5483233280,16.92,4436295,Technology,Software - Infrastructure
SA,2327521536,22.79,570512,Basic Materials,Gold
SABR,742383616,1.88,4218120,Technology,Software - Infrastructure
SAFE,952919104,13.28,684311,Real Estate,REIT - Diversified
SAFT,1111543168,74.63,104382,Financial Services,Insurance - Property & Casualty
SAH,2110163200,61.75,206962,Consumer Cyclical,Auto & Truck Dealerships
SAIA,7521483776,282.31,354925,Industrials,Trucking
SAIC,4225279744,91.81,303436,Technology,Information Technology Services
SAIL,11015812096,19.79,1766783,Technology,Software - Infrastructure
SAM,2131993344,200.03,128927,Consumer Defensive,Beverages - Brewers
SAN,152997855232,10.35,2738679,Financial Services,Banks - Diversified
SANA,1052154496,4.09,5458295,Healthcare,Biotechnology
SAND,3556414720,12.12,13935863,Basic Materials,Gold
SANM,9270910976,170.31,767119,Technology,Electronic Components
SAP,302560772096,251.96,1127925,Technology,Software - Application
SAR,349133600,21.68,133692,Financial Services,Asset Management
SARO,8977181696,26.84,2269485,Industrials,Aerospace & Defense
SATL,219880032,1.65,2588980,Industrials,Aerospace & Defense
SATS,20327278592,73.48,5061699,Communication Services,Telecom Services
SAVA,142991376,2.96,813745,Healthcare,Biotechnology
SB,489090080,4.78,369482,Industrials,Marine Shipping
SBAC,21035536384,197.4,769606,Real Estate,REIT - Specialty
SBCF,3023868160,30.91,728757,Financial Services,Banks - Regional
SBET,2352450560,11.96,10631960,Consumer Cyclical,Gambling
SBGI,1142724352,16.41,1355264,Communication Services,Broadcasting
SBH,1386216576,14.01,1532835,Consumer Cyclical,Specialty Retail
SBLK,2079344128,18.19,491380,Industrials,Marine Shipping
SBRA,4707721728,18.88,4024498,Real Estate,REIT - Healthcare Facilities
SBS,17559369728,25.69,820409,Utilities,Utilities - Regulated Water
SBSI,865603776,28.79,192959,Financial Services,Banks - Regional
SBUX,97284530176,85.57,14979667,Consumer Cyclical,Restaurants
SCCO,110953521152,136.61,1079847,Basic Materials,Copper
SCI,11297215488,80.59,669563,Consumer Cyclical,Personal Services
SCL,979855744,43.32,138533,Basic Materials,Specialty Chemicals
SCLX,139310800,18.81,119537,Healthcare,Drug Manufacturers - General
SCM,335594720,11.81,165818,Financial Services,Asset Management
SCPH,304358784,5.67,9239268,Healthcare,Biotechnology
SCS,1809911168,15.76,1012816,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SCSC,895925376,40.6,205121,Technology,Electronics & Computer Distribution
SCVL,476287104,17.4,498324,Consumer Cyclical,Apparel Retail
SD,463707520,12.61,283158,Energy,Oil & Gas E&P
SDGR,1372303104,17.78,2220873,Healthcare,Health Information Services
SDHY,404638112,16.4,103373,Financial Services,Asset Management
SDRL,1777040128,28.49,592599,Energy,Oil & Gas Drilling
SE,88767463424,149.94,7055171,Consumer Cyclical,Internet Retail
SEAT,108477832,10.55,143813,Communication Services,Internet Content & Information
SEDG,2382381824,40.0,5161198,Technology,Solar
SEE,5392066048,36.65,1116519,Consumer Cyclical,Packaging & Containers
SEER,117749216,2.09,252666,Healthcare,Biotechnology
SEI,3427127808,50.71,9362193,Energy,Oil & Gas Equipment & Services
SEIC,10152675328,82.92,498582,Financial Services,Asset Management
SEM,1650488448,13.33,876763,Healthcare,Medical Care Facilities
SEMR,1076628608,7.24,1934610,Technology,Software - Application
SENEA,752712832,107.65,155288,Consumer Defensive,Packaged Foods
SENS,245559360,6.01,715432,Healthcare,Medical Devices
SEPN,825270848,18.51,177116,Healthcare,Biotechnology
SERV,658266688,10.69,8438260,Industrials,Specialty Industrial Machinery
SES,930771456,2.55,14751382,Consumer Cyclical,Auto Parts
SEVN,135742160,9.01,111333,Real Estate,REIT - Mortgage
SEZL,2023223808,59.24,1335686,Financial Services,Credit Services
SF,12396581888,121.74,450802,Financial Services,Capital Markets
SFBS,3919662848,71.76,121548,Financial Services,Banks - Regional
SFD,8609179648,21.84,1617183,Consumer Defensive,Packaged Foods
SFIX,564872640,4.21,2137198,Consumer Cyclical,Apparel Retail
SFL,1008807168,7.6,913753,Industrials,Marine Shipping
SFM,7672712192,78.8,3572323,Consumer Defensive,Grocery Stores
SFNC,2591631872,17.91,1121460,Financial Services,Banks - Regional
SG,683264896,5.78,20094580,Consumer Cyclical,Restaurants
SGHC,5824945152,11.52,3143545,Consumer Cyclical,Gambling
SGHT,304778048,5.82,285221,Healthcare,Medical Devices
SGI,19152287744,91.25,2824833,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SGML,602787200,5.32,4598228,Basic Materials,Other Industrial Metals & Mining
SGMT,244562432,7.52,488874,Healthcare,Biotechnology
SGRY,2769323264,21.5,1116612,Healthcare,Medical Care Facilities
SHAK,3889337856,91.11,970404,Consumer Cyclical,Restaurants
SHC,4454592512,15.68,9917784,Healthcare,Diagnostics & Research
SHCO,1736435456,8.9,367349,Consumer Cyclical,Lodging
SHEL,218078822400,75.59,3363971,Energy,Oil & Gas Integrated
SHEN,598389696,10.9,279439,Communication Services,Telecom Services
SHG,26367848448,53.25,165784,Financial Services,Banks - Regional
SHLS,1519886848,9.08,4622320,Technology,Solar
SHMD,213589648,4.96,102723,Industrials,Specialty Industrial Machinery
SHO,1790782720,9.45,2005352,Real Estate,REIT - Hotel & Motel
SHOO,2776047872,38.21,1281494,Consumer Cyclical,Footwear & Accessories
SHOP,198630424576,152.41,10169357,Technology,Software - Application
SIBN,680332608,15.77,644588,Healthcare,Medical Devices
SID,2125835904,1.57,3224296,Basic Materials,Steel
SIFY,780660800,10.79,129159,Communication Services,Telecom Services
SIG,4107580160,100.31,494893,Consumer Cyclical,Luxury Goods
SIGA,468303232,6.54,1003550,Healthcare,Drug Manufacturers - Specialty & Generic
SIGI,4726409216,78.24,350520,Financial Services,Insurance - Property & Casualty
SII,2323857664,90.12,317449,Financial Services,Asset Management
SILA,1277127040,23.17,293717,Real Estate,REIT - Healthcare Facilities
SIMO,3184609792,93.71,335798,Technology,Semiconductors
SION,1549065216,34.71,223782,Healthcare,Biotechnology
SIRI,7306752512,21.71,2879903,Communication Services,Entertainment
SITC,382949632,7.28,1453725,Real Estate,REIT - Retail
SITE,5472201216,122.87,393477,Industrials,Industrial Distribution
SITM,8501738496,326.94,526100,Technology,Semiconductors
SJM,11421713408,107.06,1356141,Consumer Defensive,Packaged Foods
SJT,280584960,6.02,154498,Energy,Oil & Gas E&P
SKBL,110141064,3.87,488553,Industrials,Engineering & Construction
SKE,1991729792,16.4,589980,Basic Materials,Other Industrial Metals & Mining
SKIN,177555552,1.4,4840727,Consumer Defensive,Household & Personal Products
SKM,7903329792,20.1,756446,Communication Services,Telecom Services
SKT,3969170944,34.48,570238,Real Estate,REIT - Retail
SKWD,1922339968,47.48,331299,Financial Services,Insurance - Property & Casualty
SKY,4631784448,82.94,796595,Consumer Cyclical,Residential Construction
SKYT,873144000,18.0,3317953,Technology,Semiconductors
SKYX,171218832,1.52,571257,Industrials,Electrical Equipment & Parts
SLAB,4279772672,126.42,294971,Technology,Semiconductors
SLB,54767239168,36.66,11067692,Energy,Oil & Gas Equipment & Services
SLDB,316315584,4.06,965469,Healthcare,Biotechnology
SLDE,2083257472,16.6,1219494,Financial Services,Insurance - Property & Casualty
SLDP,1310421760,6.86,15127206,Consumer Cyclical,Auto Parts
SLF,32965816320,58.54,611739,Financial Services,Insurance - Diversified
SLG,3962226944,52.22,1062167,Real Estate,REIT - Office
SLGN,4036518400,38.2,1078597,Consumer Cyclical,Packaging & Containers
SLI,793462464,3.33,3047486,Basic Materials,Other Industrial Metals & Mining
SLM,5433314304,26.76,2324140,Financial Services,Credit Services
SLN,310799360,6.58,145307,Healthcare,Biotechnology
SLNH,178173264,2.61,11104256,Financial Services,Capital Markets
SLNO,2561968128,47.7,3934539,Healthcare,Biotechnology
SLP,344777376,17.13,1045368,Healthcare,Health Information Services
SLQT,304280800,1.73,1820164,Financial Services,Insurance Brokers
SLRC,834140352,15.29,208829,Financial Services,Asset Management
SLS,234433168,1.59,3465757,Healthcare,Biotechnology
SLVM,1738845952,43.07,830141,Basic Materials,Paper & Paper Products
SM,2094050688,18.28,3446297,Energy,Oil & Gas E&P
SMA,1893294720,34.15,705187,Real Estate,REIT - Industrial
SMCI,23970013184,39.76,32828404,Technology,Computer Hardware
SMFG,104555970560,16.3,3220744,Financial Services,Banks - Diversified
SMG,3261074688,56.48,763045,Basic Materials,Agricultural Inputs
SMLR,417924576,27.6,427690,Healthcare,Medical Devices
SMMT,13533966336,18.18,2681655,Healthcare,Biotechnology
SMPL,1996158336,19.99,1597645,Consumer Defensive,Packaged Foods
SMR,4062324992,30.34,41932462,Industrials,Specialty Industrial Machinery
SMRT,274341056,1.45,612592,Technology,Software - Application
SMTC,6237313536,71.88,1437098,Technology,Semiconductors
SMWB,712883200,8.4,161923,Technology,Software - Application
SN,13047592960,92.44,2142277,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SNA,17875517440,343.71,294767,Industrials,Tools & Accessories
SNAP,14115934208,8.21,62124931,Communication Services,Internet Content & Information
SNBR,105061904,4.61,806245,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
SNCY,659460032,12.51,802374,Industrials,Airlines
SNDA,601954112,32.07,112280,Healthcare,Medical Care Facilities
SNDK,35060965376,239.48,20305882,Technology,Computer Hardware
SNDL,458349984,1.78,2779228,Consumer Defensive,Beverages - Wineries & Distilleries
